StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,aff_com1_likert7,aff_com2_likert7,aff_com3_likert7rev,aff_com4_likert7rev,aff_com5_likert7rev,aff_com6_likert7,contin_com1_likert7,contin_com2_likert7,contin_com3_likert7,contin_com4_likert7,contin_com5_likert7,contin_com6_likert7,normcom1_likert7rev,norm_com2_likert7,norm_com3_likert7,norm_com4_likert7,norm_com5_likert7,norm_com6_likert7,job_aff1_likert5,job_aff2_likert5,job_aff3_likert5,job_aff4_likert5
2021-08-10 11:57:04,2021-08-10 11:57:04,Survey Test,,100,0,True,2021-08-10 11:57:04,R_9mhCMrX0FyahKya,,,,,43.518096923828125,-80.1873016357421875,test,,Slightly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Slightly Disagree,Moderately Agree,Strongly Agree,Slightly Disagree,Strongly Agree,Moderately Disagree,Slightly Disagree,Moderately Disagree,Neither Agree nor Disagree,Moderately Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Moderately Disagree,Disagree,Agree,Disagree,Agree
2021-08-10 11:57:04,2021-08-10 11:57:04,Survey Test,,100,0,True,2021-08-10 11:57:04,R_5ilX52ybqPt54Mu,,,,,43.518096923828125,-80.1873016357421875,test,,Moderately Disagree,Moderately Disagree,Moderately Disagree,Strongly Agree,Moderately Disagree,Strongly Agree,Strongly Disagree,Moderately Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Strongly Disagree,Moderately Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree
2021-08-10 11:57:04,2021-08-10 11:57:04,Survey Test,,100,0,True,2021-08-10 11:57:04,R_e3ab1Enw4MsDhX0,,,,,43.518096923828125,-80.1873016357421875,test,,Strongly Agree,Moderately Disagree,Moderately Disagree,Strongly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Moderately Disagree,Neither Agree nor Disagree,Strongly Disagree,Slightly Disagree,Moderately Agree,Strongly Disagree,Moderately Disagree,Moderately Agree,Strongly Disagree,Slightly Agree,Slightly Disagree,Agree,Neutral,Agree,Agree
2021-08-10 11:57:04,2021-08-10 11:57:04,Survey Test,,100,0,True,2021-08-10 11:57:04,R_0IdQIpmwgdVFM2O,,,,,43.518096923828125,-80.1873016357421875,test,,Neither Agree nor Disagree,Strongly Agree,Slightly Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Slightly Disagree,Slightly Disagree,Moderately Agree,Moderately Agree,Neither Agree nor Disagree,Moderately Disagree,Moderately Disagree,Strongly Agree,Strongly Agree,Moderately Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral
2021-08-10 11:57:04,2021-08-10 11:57:04,Survey Test,,100,0,True,2021-08-10 11:57:04,R_9tY5RuiUTrALKho,,,,,43.518096923828125,-80.1873016357421875,test,,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Moderately Disagree,Moderately Disagree,Slightly Agree,Slightly Disagree,Moderately Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Moderately Disagree,Strongly Disagree,Moderately Agree,Strongly Agree,Slightly Disagree,Moderately Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree
2021-08-10 11:57:04,2021-08-10 11:57:04,Survey Test,,100,0,True,2021-08-10 11:57:04,R_7PUTri97gYnOuYS,,,,,43.518096923828125,-80.1873016357421875,test,,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Moderately Disagree,Slightly Agree,Strongly Agree,Moderately Agree,Slightly Disagree,Strongly Agree,Slightly Disagree,Slightly Agree,Moderately Agree,Moderately Agree,Agree,Neutral,Strongly Agree,Agree
2021-08-10 11:57:04,2021-08-10 11:57:04,Survey Test,,100,0,True,2021-08-10 11:57:04,R_7OpxBEssFd98ewK,,,,,43.518096923828125,-80.1873016357421875,test,,Strongly Agree,Moderately Agree,Moderately Agree,Slightly Agree,Moderately Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Slightly Agree,Slightly Disagree,Moderately Disagree,Moderately Agree,Slightly Agree,Slightly Agree,Strongly Disagree,Neither Agree nor Disagree,Moderately Disagree,Strongly Agree,Disagree,Neutral,Neutral,Strongly Agree
2021-08-10 11:57:04,2021-08-10 11:57:04,Survey Test,,100,0,True,2021-08-10 11:57:04,R_3jGsO9ZgMpkCCPQ,,,,,43.518096923828125,-80.1873016357421875,test,,Moderately Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Moderately Agree,Moderately Agree,Neither Agree nor Disagree,Moderately Disagree,Moderately Disagree,Moderately Agree,Strongly Agree,Slightly Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Neutral,Neutral,Strongly Agree
2021-08-10 11:57:04,2021-08-10 11:57:04,Survey Test,,100,0,True,2021-08-10 11:57:04,R_eEsBqZ2uU19xfH8,,,,,43.518096923828125,-80.1873016357421875,test,,Strongly Agree,Moderately Disagree,Moderately Agree,Strongly Agree,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Disagree,Neither Agree nor Disagree,Moderately Agree,Slightly Disagree,Strongly Disagree,Strongly Disagree,Moderately Agree,Moderately Disagree,Strongly Agree,Slightly Disagree,Slightly Disagree,Neutral,Neutral,Neutral,Neutral
2021-08-10 11:57:04,2021-08-10 11:57:04,Survey Test,,100,0,True,2021-08-10 11:57:04,R_4HJg30LHeHTFapo,,,,,43.518096923828125,-80.1873016357421875,test,,Moderately Disagree,Moderately Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Moderately Agree,Slightly Disagree,Moderately Agree,Moderately Agree,Slightly Agree,Moderately Disagree,Slightly Disagree,Slightly Disagree,Strongly Disagree,Slightly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Agree,Disagree
2021-08-10 11:57:04,2021-08-10 11:57:04,Survey Test,,100,0,True,2021-08-10 11:57:04,R_4ZKlpLjT86q71Rk,,,,,43.518096923828125,-80.1873016357421875,test,,Moderately Disagree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Slightly Agree,Moderately Disagree,Slightly Agree,Moderately Disagree,Slightly Disagree,Strongly Disagree,Moderately Disagree,Strongly Agree,Strongly Agree,Neutral,Agree
2021-08-10 11:57:04,2021-08-10 11:57:04,Survey Test,,100,0,True,2021-08-10 11:57:04,R_8GEnvsfeoCqoC1w,,,,,43.518096923828125,-80.1873016357421875,test,,Slightly Agree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Slightly Disagree,Moderately Agree,Neither Agree nor Disagree,Strongly Agree,Moderately Disagree,Strongly Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Slightly Agree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Strongly Disagree
2021-08-10 11:57:05,2021-08-10 11:57:05,Survey Test,,100,0,True,2021-08-10 11:57:05,R_afssMuJbFlVQMdw,,,,,43.518096923828125,-80.1873016357421875,test,,Moderately Disagree,Slightly Disagree,Moderately Disagree,Strongly Disagree,Slightly Disagree,Moderately Disagree,Slightly Disagree,Slightly Disagree,Moderately Disagree,Strongly Disagree,Moderately Agree,Slightly Agree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Neutral,Agree,Strongly Agree,Agree
2021-08-10 11:57:05,2021-08-10 11:57:05,Survey Test,,100,0,True,2021-08-10 11:57:05,R_5tM8hc69MKpL6po,,,,,43.518096923828125,-80.1873016357421875,test,,Neither Agree nor Disagree,Slightly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Moderately Agree,Slightly Disagree,Strongly Agree,Strongly Agree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neutral,Neutral,Strongly Disagree,Neutral
2021-08-10 11:57:05,2021-08-10 11:57:05,Survey Test,,100,0,True,2021-08-10 11:57:05,R_3eEqpxYMW52ojiK,,,,,43.518096923828125,-80.1873016357421875,test,,Slightly Agree,Moderately Agree,Slightly Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Slightly Disagree,Strongly Agree,Strongly Disagree,Slightly Agree,Strongly Disagree,Strongly Disagree,Slightly Disagree,Strongly Disagree,Moderately Disagree,Strongly Agree,Neither Agree nor Disagree,Moderately Disagree,Strongly Disagree,Neutral,Agree,Disagree
2021-08-10 11:57:05,2021-08-10 11:57:05,Survey Test,,100,0,True,2021-08-10 11:57:05,R_4UfF6ghofqwGhng,,,,,43.518096923828125,-80.1873016357421875,test,,Moderately Disagree,Slightly Disagree,Slightly Agree,Moderately Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Strongly Disagree,Moderately Agree,Strongly Agree,Strongly Agree,Slightly Agree,Moderately Disagree,Neither Agree nor Disagree,Moderately Agree,Slightly Disagree,Moderately Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Agree
2021-08-10 11:57:05,2021-08-10 11:57:05,Survey Test,,100,0,True,2021-08-10 11:57:05,R_01zibNJp35Nmc7Q,,,,,43.518096923828125,-80.1873016357421875,test,,Neither Agree nor Disagree,Slightly Disagree,Moderately Agree,Moderately Disagree,Strongly Agree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Slightly Agree,Neither Agree nor Disagree,Strongly Agree,Disagree,Strongly Agree,Neutral,Neutral
2021-08-10 11:57:05,2021-08-10 11:57:05,Survey Test,,100,0,True,2021-08-10 11:57:05,R_4Sf1s4rAihQK2wu,,,,,43.518096923828125,-80.1873016357421875,test,,Slightly Disagree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Slightly Agree,Slightly Agree,Strongly Disagree,Moderately Agree,Strongly Agree,Slightly Agree,Strongly Agree,Moderately Agree,Slightly Agree,Strongly Agree,Slightly Agree,Moderately Agree,Slightly Agree,Moderately Disagree,Strongly Disagree,Agree,Disagree,Disagree
2021-08-10 11:57:05,2021-08-10 11:57:05,Survey Test,,100,0,True,2021-08-10 11:57:05,R_dcAq1Livu4xB3Qa,,,,,43.518096923828125,-80.1873016357421875,test,,Slightly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Agree,Moderately Disagree,Slightly Agree,Slightly Agree,Moderately Agree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Moderately Disagree,Slightly Disagree,Neutral,Disagree,Strongly Agree,Neutral
2021-08-10 11:57:05,2021-08-10 11:57:05,Survey Test,,100,0,True,2021-08-10 11:57:05,R_dgoWE8apqpggNNk,,,,,43.518096923828125,-80.1873016357421875,test,,Neither Agree nor Disagree,Moderately Disagree,Moderately Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Strongly Agree,Slightly Disagree,Strongly Disagree,Slightly Agree,Moderately Agree,Neither Agree nor Disagree,Moderately Disagree,Slightly Disagree,Moderately Agree,Moderately Disagree,Disagree,Agree,Strongly Disagree,Agree
2021-08-10 11:57:05,2021-08-10 11:57:05,Survey Test,,100,0,True,2021-08-10 11:57:05,R_8qft0qKOtwuW0rY,,,,,43.518096923828125,-80.1873016357421875,test,,Slightly Agree,Slightly Agree,Moderately Disagree,Strongly Agree,Neither Agree nor Disagree,Slightly Disagree,Moderately Disagree,Moderately Agree,Slightly Agree,Strongly Disagree,Slightly Agree,Strongly Agree,Slightly Disagree,Slightly Disagree,Moderately Agree,Slightly Disagree,Slightly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral
2021-08-10 11:57:05,2021-08-10 11:57:05,Survey Test,,100,0,True,2021-08-10 11:57:05,R_7WL5IxJOIRLfccC,,,,,43.518096923828125,-80.1873016357421875,test,,Moderately Agree,Moderately Disagree,Moderately Disagree,Slightly Disagree,Moderately Agree,Slightly Agree,Slightly Disagree,Strongly Agree,Strongly Disagree,Moderately Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Moderately Disagree,Strongly Disagree,Strongly Agree,Neutral,Disagree,Neutral
2021-08-10 11:57:05,2021-08-10 11:57:05,Survey Test,,100,0,True,2021-08-10 11:57:05,R_b9NzOGi5XnXOz0a,,,,,43.518096923828125,-80.1873016357421875,test,,Neither Agree nor Disagree,Slightly Agree,Strongly Disagree,Moderately Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Moderately Agree,Moderately Disagree,Strongly Disagree,Slightly Agree,Neither Agree nor Disagree,Strongly Disagree,Slightly Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Slightly Agree,Agree,Disagree,Agree,Neutral
2021-08-10 11:57:05,2021-08-10 11:57:05,Survey Test,,100,0,True,2021-08-10 11:57:05,R_8e8LyNTRM3QOsbI,,,,,43.518096923828125,-80.1873016357421875,test,,Slightly Agree,Slightly Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Moderately Agree,Moderately Disagree,Strongly Disagree,Neither Agree nor Disagree,Slightly Agree,Moderately Agree,Strongly Agree,Moderately Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Moderately Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree
2021-08-10 11:57:06,2021-08-10 11:57:06,Survey Test,,100,0,True,2021-08-10 11:57:06,R_1MqwNIg9kz1tfU2,,,,,43.518096923828125,-80.1873016357421875,test,,Slightly Disagree,Strongly Disagree,Slightly Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Moderately Disagree,Moderately Agree,Slightly Agree,Slightly Disagree,Moderately Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Moderately Disagree,Strongly Disagree,Slightly Disagree,Strongly Agree,Strongly Disagree,Neutral,Disagree
2021-08-10 11:57:06,2021-08-10 11:57:06,Survey Test,,100,0,True,2021-08-10 11:57:06,R_bg4hY3xIKDBKIES,,,,,43.518096923828125,-80.1873016357421875,test,,Neither Agree nor Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Slightly Disagree,Strongly Agree,Strongly Disagree,Slightly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree
2021-08-10 11:57:06,2021-08-10 11:57:06,Survey Test,,100,0,True,2021-08-10 11:57:06,R_2rf2dvCkQGL30Ls,,,,,43.518096923828125,-80.1873016357421875,test,,Slightly Agree,Moderately Disagree,Strongly Agree,Strongly Disagree,Moderately Agree,Moderately Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Moderately Agree,Moderately Disagree,Strongly Agree,Moderately Agree,Slightly Agree,Slightly Disagree,Strongly Agree,Moderately Disagree,Moderately Agree,Neutral,Disagree,Strongly Disagree,Agree
2021-08-10 11:57:06,2021-08-10 11:57:06,Survey Test,,100,0,True,2021-08-10 11:57:06,R_1S2XPN7mg3ZvXnw,,,,,43.518096923828125,-80.1873016357421875,test,,Moderately Agree,Moderately Agree,Slightly Disagree,Slightly Agree,Strongly Agree,Slightly Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Slightly Agree,Moderately Agree,Slightly Agree,Slightly Agree,Moderately Agree,Strongly Disagree,Moderately Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree
2021-08-10 11:57:06,2021-08-10 11:57:06,Survey Test,,100,0,True,2021-08-10 11:57:06,R_bOVZxPuKQ54jm2W,,,,,43.518096923828125,-80.1873016357421875,test,,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Moderately Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Moderately Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Strongly Agree,Disagree,Neutral,Strongly Disagree
2021-08-10 11:57:06,2021-08-10 11:57:06,Survey Test,,100,0,True,2021-08-10 11:57:06,R_9RlEhPsQiSWNMmG,,,,,43.518096923828125,-80.1873016357421875,test,,Strongly Agree,Slightly Disagree,Strongly Agree,Strongly Agree,Moderately Disagree,Slightly Agree,Strongly Disagree,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Moderately Disagree,Slightly Disagree,Strongly Agree,Agree,Disagree,Disagree
2021-08-10 11:57:06,2021-08-10 11:57:06,Survey Test,,100,0,True,2021-08-10 11:57:06,R_eg2FpaEGDSH07u6,,,,,43.518096923828125,-80.1873016357421875,test,,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Moderately Disagree,Slightly Agree,Moderately Agree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Strongly Agree
2021-08-10 11:57:06,2021-08-10 11:57:06,Survey Test,,100,0,True,2021-08-10 11:57:06,R_abkfnz0zeaUtlmm,,,,,43.518096923828125,-80.1873016357421875,test,,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Moderately Agree,Moderately Agree,Neither Agree nor Disagree,Slightly Disagree,Moderately Disagree,Moderately Agree,Slightly Agree,Strongly Agree,Slightly Disagree,Strongly Disagree,Moderately Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Neutral
2021-08-10 11:57:06,2021-08-10 11:57:06,Survey Test,,100,0,True,2021-08-10 11:57:06,R_8eJrh26hXGC1ypE,,,,,43.518096923828125,-80.1873016357421875,test,,Moderately Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Moderately Agree,Moderately Disagree,Neither Agree nor Disagree,Strongly Agree,Slightly Disagree,Strongly Disagree,Moderately Disagree,Slightly Agree,Strongly Disagree,Slightly Agree,Strongly Agree,Slightly Agree,Neutral,Agree,Agree,Strongly Agree
2021-08-10 11:57:06,2021-08-10 11:57:06,Survey Test,,100,0,True,2021-08-10 11:57:06,R_9AGp1AQEWG38l2m,,,,,43.518096923828125,-80.1873016357421875,test,,Slightly Agree,Strongly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Strongly Agree,Moderately Disagree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Strongly Agree,Moderately Disagree,Strongly Agree,Moderately Agree,Strongly Agree,Slightly Agree,Moderately Agree,Moderately Agree,Agree,Disagree,Agree,Neutral
2021-08-10 11:57:06,2021-08-10 11:57:06,Survey Test,,100,0,True,2021-08-10 11:57:06,R_6tA6iOgAPpexz4q,,,,,43.518096923828125,-80.1873016357421875,test,,Slightly Disagree,Moderately Agree,Slightly Disagree,Slightly Agree,Moderately Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Moderately Disagree,Strongly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Moderately Agree,Strongly Agree,Slightly Disagree,Moderately Agree,Strongly Agree,Neutral,Disagree,Agree,Strongly Disagree
